epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,363.48,1.65892,1.99652,1.66007,0.58975,0.37831,0.28474,0.13869,1.9703,7.15266,2.87614,0.0702013,0.00331096,0.00331096
2,846.487,1.68882,1.70035,1.7065,0.52991,0.18386,0.1626,0.06138,2.1214,5.10988,3.35014,0.0401295,0.00657242,0.00657242
3,1328.05,1.61857,1.68393,1.72924,0.51361,0.2198,0.17272,0.06165,2.75968,6.51914,3.34731,0.00977435,0.00955064,0.00955064
4,1519.95,1.54644,1.53721,1.64433,0.58197,0.22751,0.21265,0.10814,2.30872,6.69601,3.09585,0.00905463,0.00905463,0.00905463
5,1739.72,1.45176,1.37667,1.52685,0.76599,0.40084,0.39906,0.27056,1.60496,2.25572,1.81645,0.0083622,0.0083622,0.0083622
6,1991.27,0.99232,1.5292,1.64319,0.40486,0.47808,0.41776,0.3089,1.34634,1.70509,1.69669,0.007525,0.007525,0.007525
7,2226.96,0.81861,1.11169,1.49741,0.48094,0.49084,0.45898,0.35191,1.23242,1.37522,1.35652,0.00657963,0.00657963,0.00657963
8,2420.89,0.68933,0.87899,1.33984,0.53914,0.45635,0.44491,0.35247,1.20485,1.33384,1.29534,0.00556742,0.00556742,0.00556742
9,2621.68,0.63647,0.83077,1.26694,0.53143,0.36111,0.37876,0.32295,1.17615,1.59412,1.27091,0.00453258,0.00453258,0.00453258
10,2868.92,0.60502,0.77712,1.23936,0.48316,0.5873,0.46015,0.36722,1.09881,1.35045,1.21465,0.00352037,0.00352037,0.00352037
11,3572.46,0.55933,0.69185,1.21513,0.59856,0.54311,0.4933,0.37916,1.05104,1.33834,1.13508,0.002575,0.002575,0.002575
12,4177.37,0.59102,0.74427,1.20159,0.67728,0.54859,0.54747,0.40684,1.0478,1.27917,1.13365,0.0017378,0.0017378,0.0017378
13,4421.68,0.54921,0.65793,1.18689,0.7374,0.49935,0.55593,0.41264,1.13755,1.38466,1.23757,0.00104537,0.00104537,0.00104537
14,4611.6,0.52109,0.62306,1.15569,0.55434,0.56085,0.51459,0.40175,1.1468,1.38149,1.26691,0.00052795,0.00052795,0.00052795
15,4840.67,0.51295,0.61257,1.1429,0.56367,0.57065,0.52718,0.40608,1.13085,1.36035,1.24427,0.000208169,0.000208169,0.000208169
